Source,Target,Type,Id,Weight
notes_veterans,soldat_prav,Directed,3201,42
georgy_fedorov,RDS_official_smi,Directed,3221,136
soldat_prav,soldat_prav,Directed,3227,117
juchkovsky,soldat_prav,Directed,3232,1
dva_majors,soldat_prav,Directed,3233,18
strelkovii,soldat_prav,Directed,3234,5
russia_and_anvil,soldat_prav,Directed,3236,8
zhivoff,soldat_prav,Directed,3240,6
RDS_Official_channel,soldat_prav,Directed,3242,146
infantmilitario,soldat_prav,Directed,3257,1
rybar,soldat_prav,Directed,3259,2
voenkorKotenok,soldat_prav,Directed,3261,7
fabric80,soldat_prav,Directed,3281,7
georgy_fedorov,soldat_prav,Directed,3282,33
adirect,soldat_prav,Directed,3294,26
i_strelkov_2023,RDS_official_smi,Directed,3313,66
RDS_official_smi,soldat_prav,Directed,3316,12
interbrigady2022,soldat_prav,Directed,3320,19
blackcolonel2020,RDS_official_smi,Directed,3323,106
Protoinquisitor,soldat_prav,Directed,3324,12
new_totalis,soldat_prav,Directed,3365,1
drugoros_spb,soldat_prav,Directed,3367,1
R_Vestovoi,soldat_prav,Directed,3380,5
blackcolonel2020,soldat_prav,Directed,3382,1
mihailaksel,soldat_prav,Directed,3385,2
Rus_imperia,soldat_prav,Directed,3390,1
imperskiylegion1917,soldat_prav,Directed,3431,1
rusfleet,soldat_prav,Directed,3435,2
tsarkrest,soldat_prav,Directed,3457,1
voenacher,soldat_prav,Directed,3466,1
Sladkov_plus,soldat_prav,Directed,3476,1
wargonzo,soldat_prav,Directed,3501,1
RVvoenkor,soldat_prav,Directed,3517,1
romagolovanov,soldat_prav,Directed,3525,1
ghost_of_novorossia,RDS_official_smi,Directed,3551,30
dva_majors,RDS_official_smi,Directed,3552,30
boris975,RDS_official_smi,Directed,3555,5
juchkovsky,RDS_official_smi,Directed,3576,2
strelkovii,RDS_official_smi,Directed,3578,16
kvmalofeev,RDS_official_smi,Directed,3580,1
drugoros_spb,RDS_official_smi,Directed,3599,2
voenkorKotenok,RDS_official_smi,Directed,3605,32
sashakots,beard_tim,Directed,3608,75
romagolovanov,RDS_official_smi,Directed,3614,3
Rus_imperia,RDS_official_smi,Directed,3615,10
kartezianec,RDS_official_smi,Directed,3616,1
adirect,RDS_official_smi,Directed,3622,14
Alekhin_Telega,RDS_official_smi,Directed,3628,26
Andrafanaslive,RDS_official_smi,Directed,3648,1
rusjuche,RDS_official_smi,Directed,3660,1
ordinaryczarizm,new_totalis,Directed,3661,39
Agdchan,RDS_official_smi,Directed,3676,6
rusfleet,RDS_official_smi,Directed,3677,1
rybar,voenacher,Directed,3679,1043
RDS_official_smi,RDS_official_smi,Directed,3686,1
russia_and_anvil,RDS_official_smi,Directed,3694,12
mihailaksel,RDS_official_smi,Directed,3699,8
tsarkrest,RDS_official_smi,Directed,3709,7
chernaya100kitchen,RDS_official_smi,Directed,3740,13
nwindpro,RDS_official_smi,Directed,3741,2
